Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-D9-A4Z6-06A-12R-A266-07	0.0545091322518776	0	0.0806136648530163	0.0651306348258701	0	0.00760525268661234	0	0.106852881031046	0.0110000642215032	0	0.0468431013674272	0.0158033940168947	0	0.528866561617091	0.0186368716683	0.0641384414603622	0	0	0	0	0	0	0	0.377032267385679	0.949096846706596
TCGA-EE-A2MQ-06A-11R-A18S-07	0.0592106587360263	0	0.00407681464075577	0.0517822610964214	0	0.121762954743932	0.0125947318804401	0.0803004125807923	0.0223932966198099	0	0.0732646539205258	0	0	0.279362216312313	0.0730997924312877	0.178600474755213	0.00495865696856793	0	0.0331022153348487	0	0.00549085997906632	0	0	0.569899965923384	0.826956906059192
TCGA-EE-A3AF-06A-11R-A18S-07	0	0.0369226576329179	0.00658467944566763	0.169717165310863	0	0	0.00746190303920492	0.082772509218983	0.0516169816157803	0	0.0362750395541584	0.0151038687621172	0.0262878050325365	0.220928947706341	0.0461821614338743	0.242019386960755	0.0131957921115106	0	0.0365170995962825	0	0.000983703116712263	0.00743029946229594	0	0.612197947893501	0.804599891142181
TCGA-ER-A19F-06A-11R-A18S-07	0.0313224730817365	0	0.0293420600888687	0.0237069811907852	0	0	0	0.1033533404445	0.0543953485516951	0	0.0626380386234893	0	0.0282733009253448	0.352544368973704	0.0757561510371828	0.212977871403377	0	0	0	0.0222458134661845	0.00344425221313125	0	0	0.50576196763453	0.862161656389847
TCGA-EE-A2MF-06A-11R-A21D-07	0.0696281678232596	0	0.025097769702771	0.0833642709730116	0	0.0956236859420475	0.00748993811455422	0.0819130225994101	0.0439106523789775	0	0.0601097702148063	0	0.0500181919914923	0.0202470220772345	0.0692850716095965	0.341439806084452	0	0.00198234136049719	0.0498902891278898	0	0	0	0	0.48118427385203	0.878223257313768
TCGA-EE-A2MJ-06A-11R-A18S-07	0.095107113847091	0.0344330278745001	0	0.227863850649578	0	0	0.0373207350688863	0.100894548826496	0.0977080220068634	0	0.0527857084752058	0	0.0288383246888967	0.0939137475169676	0.100219661037842	0.0944599941193427	0.00725791325736284	0	0.0291973526309676	0	0	0	0	0.738109180475149	0.733873581409657
TCGA-BF-AAP4-01A-11R-A40A-07	0.00070704324599283	0.00974682895940413	0.0179084092652075	0.329517312945328	0	0	0.0519910725077096	0.127376144925117	0.0316373749037288	0	0.0975496901345137	0.0357861799967247	0.0192396370962034	0.0643075946348134	0.0426745697843778	0.150883226209909	0.000978660571640349	0.0116311270460366	0.00806512777329184	0	0	0	0	0.625108018324299	0.788371587292541
TCGA-D3-A8GM-06A-11R-A37K-07	0.0746903045997016	0.00355251091258695	0.0149212274126519	0.101487346082698	0	0	0.00664976267771836	0.094534348066341	0.0805258584218758	0	0.0531148350180766	0	0	0.298546842474804	0.104879022760846	0.141416139360884	0.0104168702597212	0	0.0152649319520943	0	0	0	0	0.703262007390341	0.743679179421861
TCGA-GN-A26A-06A-11R-A18T-07	0	0.00318614228960708	0.00844445839328337	0.0903096238139148	0	0.0863357304747709	0.0185017684561156	0.00852825424453874	0.00550351195801174	0	0.0637708748573759	0	0	0.519159863931723	0.0466037383690955	0.133921602585423	0	0	0.0127390463453474	0	0	0.00299538428079304	0	0.763337278769736	0.662367615643324
TCGA-EB-A3XE-01A-12R-A239-07	0.0165757963636561	3.61677005937509e-05	0.00548753563614462	0.218615938181512	0	0.0229884299631544	0.0120402677455018	0.0566807722918732	0.0559454926706438	0	0.0564661349482362	0	0	0.183358815154189	0.0895571248135115	0.178207718743839	0.00970373155501186	0	0.0943360742321331	0	0	0	0	0.506712508366181	0.86310281300593
TCGA-DA-A1I0-06A-11R-A20F-07	0.041871815621636	0.0565765017248209	0.00146297829225524	0.173878652674496	0	0.0348446538127286	0	0.061407995329188	0.169983312460467	0	0.0336851201807179	0.0235087918143555	0.0258608526916411	0.19762678229678	0.0122044355408463	0.133685623071896	0	0.0106522723815614	0.0227502121066092	0	0	0	0	0.610191672145536	0.807202441020594
TCGA-FR-A3R1-01A-11R-A239-07	0.0600851533559578	0	0.0631126415896851	0.203129570430001	0	0.0468783809650956	0.0311881014626303	0.172620074602067	0.0256808078637566	0	0.0461696854375008	0.0185295064793372	0.000179279383636565	0.0596845430396736	0.0659668873549732	0.189516753479859	0.00287613056278929	0	0.014382483993037	0	0	0	0	0.390212597982446	0.921192525836086
TCGA-EE-A3AA-06A-11R-A18S-07	0.11299217008398	0.0818747704233625	0	0.0614404925795464	0	0.110001048438853	0	0.128607131761378	0.0593902261563979	0	0.0481138446520899	0	0.0304135382559159	0.162541379167839	0.100997394553917	0.0836499128225563	0	0	0.0199780911041641	0	0	0	0	0.698078537400482	0.761298933138299
TCGA-W3-AA21-06A-11R-A38C-07	0.0391590183638688	0.0618777291368039	0.0375212064221246	0.214019060905624	0	0.0246765537276779	0	0.175626605066328	0.110066652999613	0	0.0266301058819818	0.0404906209594353	0.0290602875518698	0.0997732511683119	0.0568640592033938	0.0706357410639525	0	0.0097694757157146	0.00382963183330023	0	0	0	0	0.307359813504307	0.963907151716945
TCGA-D9-A6EA-06A-11R-A311-07	0.0045038875889477	0.0471713903670418	0.0282311149596687	0.0220591168423428	0	0.0638952118363686	0	0.117266696978823	0.0624990595152341	0	0.0325866517323418	0.0363366374712285	0.0138055710368812	0.243207291853635	0.0683741890943958	0.254538086181348	0.00167350474191434	0	0.00359248343294268	0.000259106366886995	0	0	0	0.344220322947998	0.946863035856524
TCGA-D3-A5GU-06A-11R-A27Q-07	0.00945430052077819	0.0139087760473086	0.0169522425782252	0.275755471212566	0	0	0	0.138400289249851	0.086042039107646	0.00893256869134817	0	0.00563534609596998	0.0349725150596028	0.0266022939428934	0.0800703099227197	0.29263814783433	0	0	0.0106356997367615	0	0	0	0	0.53206640759462	0.848810205660804
TCGA-EE-A29X-06A-11R-A18T-07	0.0387725970966451	0	0.0230249802706331	0.14397216338591	0	0.00946302358059178	0.00350103075666452	0.0804147008642069	0.106481349449502	0	0.102895045485179	0.00161715552334646	0.0197998171034035	0.260754180446504	0.0400727190574176	0.151794776269371	0.0174364607106237	0	0	0	0	0	0	0.616497622495053	0.800002771078157
TCGA-EB-A4IS-01A-21R-A266-07	0.102055789644471	0.0721276857072285	0.00975125787278341	0.170089542802729	0	0.0512479148359716	0	0.129517051807941	0.0792491695199884	0	0.0222395641382702	0.00491266837958428	0.01225775400277	0.135303699860985	0.083360993598714	0.113051717039467	0	0	0.0148351907890972	0	0	0	0	0.785375249568528	0.706663674813906
TCGA-GF-A769-01A-32R-A32P-07	0.0295924839181459	0	0.123504327775465	0.0495095594936362	0	0.0415783805302456	0	0.0633392699537585	0.0269165980570498	0	0.0184196735345375	0	0.0680442623000587	0.242545865131649	0.0265129846978096	0.286477443329986	0	0	0	0.0195587290430979	0	0.00400042223456075	0	0.351631049057301	0.943313966160142
TCGA-EE-A2GM-06B-11R-A18S-07	0.0602166273170951	0	0.102935353672033	0.216293200941108	0	0	0.00310013188882193	0.109540043624649	0.0561911296832831	0	0.0412398462041821	0.0174916287483218	0.0360167606599206	0.0446354561065251	0.0420929763407731	0.249146591108312	0.000591201608186801	0	0.0205090520967872	0	0	0	0	0.208443415559711	0.998418683029622
TCGA-W3-AA1V-06B-11R-A40A-07	0.0460576838154693	0	0.0158578795237108	0.0648570056617904	0	0.348122629710416	0.00124946112318448	0	0	0	0.0695124921118177	0	0.0356291674918961	0.110413234084341	0.0393035912003672	0.253336786950936	0	0	0	0.0156600683260706	0	0	0	0.509972213976482	0.861407157681602
TCGA-EB-A4XL-01A-11R-A27Q-07	0.0180640262919745	0.0128619938201903	0.0225709588988302	0.162230028481525	0	0.0247550793037235	0.00408988937303296	0.13394563904479	0.0683257807428703	0	0.0384080307596867	0.0126985762962873	0.0149466825787312	0.103757836958082	0.110047222582051	0.137536971734756	0.023872552864981	0	0.100840952794074	0	0	0.011047777474414	0	0.525971530012972	0.855615331495833
TCGA-EE-A3J8-06A-11R-A20F-07	0.197219450235799	0	0.0661854022551122	0	0	0.125286159330657	0.0022853633081194	0.0908347700958825	0.0409498784817514	0	0.0668869836326863	0.0200276212425798	0.0241562089492013	0.113391112648391	0.0030935368980398	0.187071407541501	0.00015169624921269	0	0.0520145180844567	0	0.0104458910466094	0	0	0.168890127657837	1.0118543082137
TCGA-EE-A3JD-06A-11R-A20F-07	0.160334285588623	0.0455906658252436	0	0.131978944786301	0.0500267082868497	0	0.0270802711949315	0.0979539994805095	0.0614450799366486	0.0336361060491093	0	0.00508263466176785	0.000141359196320535	0.0292355180133871	0.127080364087741	0.196749492170554	0	0	0.0280668632546807	0	0	0.00559770746733214	0	0.8326392256597	0.673541252399377
TCGA-ER-A19O-06A-11R-A18S-07	0.0366400974692423	0	0	0.216020870707753	0	0	0	0.0549283747343928	0.1004908469795	0	0.0346288420257649	0.0264776801800695	0.0503329171137447	0.273352415697742	0.0250690477048105	0.157103215174492	0.000520745444537611	0	0.0244349467679501	0	0	0	0	0.650452881833006	0.777943218778487
TCGA-D3-A1QA-06A-11R-A18T-07	0.0541978848781124	0	0.0349697920618766	0.0681301621219279	0	0	0.0126956275671534	0.123177905883297	0.0476296144955047	0	0.074010231181673	0.00547569640181709	0	0.165404540529019	0.079231619826567	0.281357965416011	0	0.00177796703698398	0.0502708504701403	0	0.00167014212991675	0	0	0.428509587421225	0.902760694731014
TCGA-WE-AAA4-06A-12R-A38C-07	0.00265956167416187	0	0	0.324637022403998	0	0	0.0047355104457191	0.0659473872412708	0.0667017803812289	0	0.122846782559395	0.0111028939968677	0.0916715154045764	0.11460168333207	0.0616530750292393	0.117160562073394	0.00376724671151381	0	0	0.010868541210628	0	0.0016464375359366	0	0.68067697689794	0.753418177856177
TCGA-ER-A195-06A-11R-A18U-07	0.0255433327303803	0	0.0255258294248992	0.235151155682286	0	0	0.00943562327266444	0.0489994082933099	0.0871602669869049	0	0.0425059009332684	0.0124970237628262	0.0290980434984265	0.146648962513797	0.0583346364501324	0.242992887082968	0	0.00164866168978702	0.0344582676783493	0	0	0	0	0.749744777260841	0.727757853077414
TCGA-DA-A95Y-06A-11R-A37K-07	0.100005424776549	0	0.024097594588724	0.0506112237128784	0.0664587507520714	0.00191654837848106	0	0.0230593313053947	0.161159218288882	0	0.0727534795629265	0	0.00196031324768237	0.19306136238839	0.0255598780773479	0.265683798624182	0.00236653228947851	0	0.011306544007011	0	0	0	0	0.316922749169318	0.956879493014523
TCGA-FS-A1YY-06A-11R-A18T-07	0.0431060802981039	0	0.0467184505319758	0.0206696941020265	0	0.0325748318550779	0	0.0287487331807967	0.00642271152157669	0	0.0265418647199044	0	0	0.475884053777754	0.0131905257883976	0.220577226926675	0	0.00478126183896368	0.0807845654587479	0	0	0	0	0.467651260826258	0.893759597922376
TCGA-D3-A1QA-07A-11R-A37K-07	0.0648933204217674	0	0.0183691606311764	0.0976765401174336	0	0.0957572108405806	0.0106855162813071	0.0700894616687595	0.0397929596573121	0	0.0453817234342668	0.0201919721016825	0	0.240060917619515	0.069717556137156	0.190478600398661	0.00506020693646286	0	0.0318448537539197	0	0	0	0	0.602201690404127	0.810884788089389
TCGA-RP-A694-06A-11R-A311-07	0.0679122007271241	0	0.0587462294342071	0.178516194587854	0	0.0519702085413918	0.0105375490988437	0.114068175802143	0.0438419271126408	0	0.0306448641514425	0.000358497859977997	0.0372980690004032	0.112922786928507	0.0575608688308537	0.22553541848031	0	0	0.0100870094443013	0	0	0	0	0.366701823789174	0.931160388159531
TCGA-D3-A1Q8-06A-11R-A18T-07	0.0655798622663036	0.0188080214557402	0.0314680451280393	0.056858607825278	0	0.106506185007415	0.00163133464237234	0.0448718037820623	0.0415026785700624	0	0.0278259079216208	0	0.0920919076120597	0.0133356098004549	0.0175874127486355	0.380506616463386	0	0	0.10142600677657	0	0	0	0	0.604830686287397	0.818811850768014
TCGA-FS-A1Z0-06A-11R-A18T-07	0.0261129653790559	0	0.0226531258048915	0.141023937649197	0	0.0253863473197686	0.0199921470783368	0.0804294704860107	0.0580188008523706	0	0.0721673681658954	0	0.0175183845003442	0.153578755442657	0.107688808191974	0.251618624799451	0.0010010860971167	0	0.0228101782329299	0	0	0	0	0.76482989522295	0.714275947068275
TCGA-FS-A1ZU-06A-12R-A18T-07	0.0765961791309849	0	0.0449640692552055	0	0	0.011966511155086	0	0.0542393743320174	0.0266312204249272	0	5.97291286673944e-05	0.0174386806032375	0.00451033489154674	0.335175281287515	0.0140089980253217	0.387968889848225	0	0	0	0.0177465664247029	0.00258615806883045	0.00610800742373244	0	0.43489129936369	0.911463961527491
TCGA-GN-A268-06A-11R-A18T-07	0.0705127503688482	0	0.117958514763892	0.0943773125845227	0	0	0.00539141932191851	0.141697503177718	0.0162550512335754	0	0.0321512442641785	0.00714888571483788	0.00930170380331638	0.194105247812748	0.0148255451836685	0.288457193567163	6.7818406632632e-06	0.00610416845406461	0	8.57353275481104e-05	0.00091500514067583	0.000705937440660307	0	0.192490947402741	1.01171272657087
